participant,group,RT_mean,RT_sd,RT_mdn,hit_rate,n_trials,trial_dur_M
1,Single,2331.349806667034,1108.2849059249902,2179.066700000476,1.0,15,2.410173066666904
10,Single,1429.9736733333702,391.5436111793062,1326.70490000055,1.0,15,1.4309632533334777
11,Single,1431.5763866666505,135.68994637916504,1413.67530000025,1.0,15,1.432737913333282
12,Single,1507.9863200000013,531.4785236007391,1441.1118000000442,1.0,15,1.5824173333333416
13,Single,1391.2566666665953,366.07591683381764,1308.7365000001228,1.0,15,1.4673189533334157
14,Single,1640.1328133333323,499.94955442232634,1476.7247999999995,1.0,15,1.7293310266666708
15,Single,1338.1374399999988,325.539255919865,1220.5835999999408,1.0,15,1.3393978866666663
16,Single,1766.1829400000138,540.885336550093,1648.7263000000212,1.0,15,1.7673688266666583
17,Single,1160.4643666668078,220.9423148777763,1124.6895999993285,1.0,15,1.210025760000037
18,Single,1542.302046666373,386.01923045913287,1399.1819999992003,1.0,15,1.5939841466663585
19,Single,1649.9751800006682,320.59225767164946,1609.469299997727,1.0,15,1.7020627200004426
2,Single,1865.4243666667753,1168.7425189197315,1540.6748999994306,1.0,15,1.9422248866668572
20,Single,1492.9917733335362,291.4237636454993,1447.1610999971745,1.0,15,1.5445916399999982
21,Single,1547.1590666663058,397.83523354052267,1432.3052999970969,1.0,15,1.5908758666664655
22,Multiple,1330.5991133333387,293.5855236881414,1220.338599999991,1.0,15,5.952417879999994
23,Multiple,1498.6478333333405,346.1946751762202,1394.1749999999047,1.0,15,6.064529153333343
24,Multiple,1997.2415266666455,830.2857082642149,1685.023499999943,1.0,15,7.216468700000016
25,Multiple,1338.801493333449,201.2711923831404,1315.6128999999055,1.0,15,6.864913286666464
26,Multiple,1780.876733333207,824.7811171614189,1507.2086999989551,1.0,15,6.728545006666295
27,Multiple,1373.8547133333327,476.33590265219675,1121.336499999984,1.0,15,6.464255713333333
28,Multiple,1609.0146533333307,237.6965780525238,1633.4712000000309,1.0,15,6.131256626666669
29,Multiple,1268.6897666666785,279.0304889948436,1219.8083999999199,1.0,15,5.3776696933333366
3,Single,1762.399106666756,467.23348087474056,1668.7402999996266,1.0,15,1.838970600000055
30,Multiple,2103.0041999999717,2056.4502900711777,1372.2536999998738,1.0,15,7.3585545400000205
31,Multiple,1497.8926600000098,328.9973339283477,1370.4545000000508,1.0,15,5.937491173333304
32,Multiple,1556.2989399999992,412.862163406711,1493.4454999999502,1.0,15,4.7780116599999936
33,Multiple,1430.4395933333203,251.57455254948405,1373.4739999999874,1.0,15,6.60043117999999
34,Multiple,1463.7053466666355,455.0978160258924,1365.0692000001072,1.0,15,6.427055133333308
35,Multiple,1760.4853533333273,596.530613905127,1533.541199999945,1.0,15,6.716566833333371
36,Multiple,1542.5416466666813,591.9158776608373,1278.3787000000189,1.0,15,7.243589973333341
37,Multiple,2128.5374466666476,877.1674527028291,2153.430500000013,1.0,15,10.681355720000028
4,Single,1452.9313866655382,361.49543975011375,1392.1905999959563,1.0,15,1.5356201200003852
5,Single,1540.2571933329455,299.67050410499695,1508.6387999981525,1.0,15,1.6308203600007503
6,Single,1602.0891066684271,478.85753851643994,1455.418199999258,1.0,15,1.6936313866681307
7,Single,1510.7701933333224,372.62128582205656,1413.9290000000528,1.0,15,1.5119742800000207
8,Single,1547.0682333333418,522.6370416759241,1380.234900000005,1.0,15,1.5481841866667148
9,Single,1363.1837733333366,281.69643445513,1401.4225000000806,1.0,15,1.3642398599999666
