Group,DV,rho,p_spearman,r_pearson,p_pearson,slope,p_slope,sig
Single,RT (ms),0.47503342043331875,3.700354880557454e-21,0.4454085001027081,1.653024080760944e-18,261.25318407903563,1.6530240807609325e-18,***
Single,Success Rate %,-0.18710435753417354,0.0004249784413529789,-0.1521929624988429,0.0042654995125745955,-0.639744476946015,0.004265499512574629,***
Single,Hit Rate %,-0.09801685159539078,0.0666222909177351,-0.09822566893431264,0.0660417406840271,-0.5161679509213626,0.06604174068402684,ns
Single,False Alarms,0.18710435753417354,0.0004249784413529789,0.021843924875288773,0.6833950748363578,0.004985260474168838,0.6833950748363578,***
Single,Avg Inter-Target ms,,,,,0.0,1.0,
Multiple,RT (ms),0.12188039676975522,0.08962890493901673,-0.06116863623371305,0.39561557173935047,-25.10774490239423,0.39561557173935114,ns
Multiple,Success Rate %,-0.40661320103555065,3.6709555480320212e-09,-0.35299420584537794,4.159848161479876e-07,-0.8025376332527931,4.159848161479848e-07,***
Multiple,Hit Rate %,-0.4149198325792033,1.630859646965607e-09,-0.2812914265304706,6.79077081428008e-05,-0.6397046122641645,6.790770814280051e-05,***
Multiple,False Alarms,0.43779031524567114,1.5531185963782878e-10,0.37177715878436796,8.734243536087952e-08,0.16467965584442903,8.734243536087871e-08,***
Multiple,Avg Inter-Target ms,0.6464999755193739,1.831345800743977e-24,0.5933929101425113,6.17718115214031e-20,99.90702565276932,6.177181152140079e-20,***
