Group,Modality,DV,n,M,SD,Mdn,Min,Max,SE,skew
Single,Lab,RT (ms),315,1565.4100876191014,547.9071577643496,1440.202999999883,820.6554999999867,5929.118300000482,30.871071038716572,3.4908181873468678
Single,Lab,Hit Rate,315,1.0,0.0,1.0,1.0,1.0,0.0,
Single,Game,RT (ms),351,2971.1509971509972,2529.270699514078,2028.0,0.0,14711.0,135.0024825288302,1.9016677849615877
Single,Game,Success %,351,94.70632478632479,18.12609266530863,100.0,8.33,100.0,0.9674992513986007,-3.310645905905742
Single,Game,Hit Rate %,351,94.58689458689459,22.659914242373326,100.0,0.0,100.0,1.2094967443376134,-3.9409279524230008
Single,Game,False Alarms,351,0.21367521367521367,0.9841230454054862,0.0,0.0,11.0,0.052528602125940155,6.983386933111584
Multiple,Lab,RT (ms),240,1605.0394387499946,743.4095948551322,1418.6958499998354,822.040399999878,9316.043199999967,47.9868830047455,5.377637456514716
Multiple,Lab,Hit Rate,240,1.0,0.0,1.0,1.0,1.0,0.0,
Multiple,Game,RT (ms),195,1835.4717948717948,1380.5598046446123,1449.0,927.0,12246.0,98.86394106069807,4.996117480395669
Multiple,Game,Success %,195,96.15902564102565,7.646701638807899,100.0,51.85,100.0,0.5475916780892044,-2.926700556370206
Multiple,Game,Hit Rate %,195,97.99353846153845,7.6489056081493825,100.0,21.43,100.0,0.5477495076119407,-6.574770597691385
Multiple,Game,False Alarms,195,0.6051282051282051,1.4898191819207212,0.0,0.0,13.0,0.10668816758026882,4.915275380047065
