Comparison,Group,n,r_raw,p_raw,sig_raw,ci_lo_raw,ci_hi_raw,r_log,p_log,sig_log,ci_lo_log,ci_hi_log,rho,p_rho,sig_rho
(a) All levels,Single,21,0.2879786493882081,0.205548944759743,ns,-0.164117944357872,0.6400964623254268,0.48475482120977725,0.02593646422950914,*,0.06710361213255216,0.7578554379190684,0.39610389610389607,0.07547637795047234,ns
(a) All levels,Multiple,16,0.10106298342503434,0.7095833687432007,ns,-0.4154638821180069,0.5683047887085863,0.053110707783797395,0.8451215994904078,ns,-0.4545699191513668,0.5347449871702886,0.02647058823529412,0.9224805705017287,ns
(a) All levels,All,37,0.07738949444181627,0.6489159249005391,ns,-0.25297874474043053,0.3915943580228168,0.14251736993345573,0.40009441130514,ns,-0.19029479725374934,0.44594838528764175,0.1818397344713134,0.28141959098403196,ns
(b) Lvls 1–10,Single,21,0.6477054244920861,0.0015003778649295722,**,0.29985402451716403,0.8435373450405537,0.6525048947353879,0.0013457674545371626,**,0.30740045929162324,0.8459183910355609,0.45194805194805193,0.03970201724016005,*
(b) Lvls 1–10,Multiple,16,0.0306090366276221,0.9104033801550545,ns,-0.4722697143955116,0.5184552276091678,0.004482835541866709,0.9868540878021204,ns,-0.4923240708066009,0.49908662977895774,-0.047058823529411764,0.8626036946668731,ns
(b) Lvls 1–10,All,37,0.26881134665509127,0.1076681711471514,ns,-0.060481172698205014,0.5453362769886121,0.255743208693854,0.12657062019635137,ns,-0.07445083428752225,0.5354006460285646,0.20910384068278803,0.21421480482879884,ns
(c) Level 1 only,Single,21,0.7167170088797663,0.00025664989182059894,***,0.41271971270351526,0.8770496097931787,0.606331780084399,0.00357057451617576,**,0.23655672107363201,0.822687374276536,0.3038961038961039,0.18047767364208747,ns
(c) Level 1 only,Multiple,16,0.16297393585024278,0.5464621879230827,ns,-0.36198290320045073,0.6094503561210005,0.06939928644112714,0.7984247873783528,ns,-0.4415021885821633,0.5463176652499189,-0.08823529411764705,0.7452220943671326,ns
(c) Level 1 only,All,37,0.2649091561553281,0.113073221054347,ns,-0.06466611350059702,0.5423775786028359,0.23724359520528848,0.15740781218500818,ns,-0.0940075428407331,0.5212018966333137,0.11368620730065075,0.5028778450799261,ns
